kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	81052715
1	7992
2	2521
3	1792
4	1500
5	1509
6	1422
7	1512
8	1538
9	1535
10	1564
11	1462
12	1343
13	1601
14	1406
15	1364
16	1433
17	1354
18	1163
19	1042
20	1080
21	1118
22	950
23	897
24	846
25	835
26	771
27	708
28	687
29	672
30	582
31	587
32	565
33	573
34	482
35	497
36	421
37	410
38	400
39	399
40	399
41	384
42	325
43	325
44	280
45	244
46	228
47	224
48	221
49	207
50	161
51	154
52	141
53	148
54	116
55	106
56	74
57	81
58	103
59	61
60	70
61	64
62	55
63	50
64	52
65	58
66	38
67	22
68	15
69	23
70	20
71	21
72	16
73	6
74	12
75	13
76	12
77	7
78	7
79	5
80	7
81	4
82	3
83	1
84	2
85	5
86	1
87	1
88	2
